348,323,472,514,331,379,337,340,447,445,330,372,409,322,344
346,236,291,377,279,187,393,270,341,316,309,294,262,321,282
320,284,323,435,309,300,338,325,349,347,332,347,267,230,280
384,224,377,376,279,201,406,237,363,371,257,294,278,343,315
355,288,450,498,260,335,347,309,416,414,249,361,391,363,316
288,183,385,416,264,237,288,224,331,340,217,236,339,295,246
216,240,259,377,264,269,225,272,351,304,306,260,288,221,203
407,316,472,615,388,389,391,371,466,453,400,403,402,356,350
398,324,468,571,296,360,383,352,430,417,334,384,373,330,321
236,188,303,358,193,152,296,242,305,260,226,243,270,287,199
378,277,407,410,298,246,384,296,382,343,289,257,304,348,312
424,226,447,602,331,327,402,288,398,430,349,362,385,349,353
403,340,356,471,401,352,394,358,440,429,393,374,341,317,333
291,193,274,324,211,254,368,214,235,334,166,272,278,228,283
238,142,260,324,210,201,161,169,194,220,192,205,183,132,182
